subid,xd,xv,choice,cond,choice_category,trial
1512101,11,1,6,1,4,1
1512101,11,1,2,1,2,2
1512101,11,1,6,2,4,3
1512101,6,6,0,2,1,4
1512101,12,0,6,2,4,5
1512101,7,5,0,1,1,6
1512101,10,2,6,2,4,7
1512101,6,6,0,1,1,8
1512101,7,5,0,2,1,9
1512101,7,5,0,1,1,10
1512101,6,6,0,1,1,11
1512101,11,1,2,2,2,12
1512101,6,6,0,2,1,13
1512101,6,6,0,2,1,14
1512101,12,0,2,1,2,15
1512101,10,2,2,1,2,16
1512101,12,0,2,2,2,17
1512101,7,5,0,2,1,18
1512101,7,5,0,1,1,19
1512101,12,0,2,2,2,20
1512101,10,2,2,2,2,21
1512101,6,6,0,1,1,22
1512101,6,6,0,1,1,23
1512101,12,0,2,1,2,24
1512101,7,5,0,2,1,25
1512101,11,1,2,1,2,26
1512101,12,0,2,2,2,28
1512101,7,5,0,1,1,29
1512101,6,6,0,2,1,30
1512101,7,5,0,2,1,31
1512101,10,2,0,1,1,32
1512101,7,5,0,1,1,33
1512101,6,6,0,1,1,34
1512101,10,2,2,2,2,35
1512101,10,2,2,1,2,36
1512101,6,6,0,2,1,37
1512101,11,1,2,2,2,38
1512101,7,5,0,2,1,39
1512101,12,0,2,1,2,40
1512101,6,6,0,1,1,41
1512101,7,5,0,2,1,42
1512101,7,5,0,1,1,43
1512101,6,6,0,2,1,44
1512101,10,2,2,2,2,45
1512101,11,1,4,1,3,46
1512101,7,5,0,2,1,48
1512101,7,5,0,1,1,49
1512101,12,0,2,2,2,51
1512101,12,0,2,1,2,52
1512101,10,2,2,1,2,53
1512101,10,2,0,2,1,54
1512101,12,0,2,1,2,55
1512101,12,0,2,1,2,56
1512101,12,0,6,2,4,57
1512101,6,6,0,2,1,58
1512101,7,5,0,2,1,59
1512101,12,0,0,2,1,60
1512101,7,5,0,2,1,62
1512101,6,6,0,2,1,63
1512101,10,2,2,1,2,64
1512101,7,5,0,2,1,65
1512101,11,1,0,2,1,66
1512101,6,6,0,1,1,67
1512101,11,1,0,2,1,68
1512101,6,6,0,1,1,69
