subjid,alpha,omega_a,omega_i,tau
1512101,0.522907496,1.769893164,0.696414312,1.649671203
1512104,0.744715945,11.28341934,0.795258338,1.925986836
1512105,0.971734619,2.290939086,2.95195657,0.985402104
1512106,0.876057016,2.996812477,0.930711708,1.755346681
15121107,0.981967277,3.668501357,5.286241608,2.613327505
1512108,0.385020292,3.745063886,0.89537368,2.911282004
1512110,0.838551979,4.514983736,3.254469155,1.877284275
1512111,0.505737477,6.160748623,4.753851509,3.02487731
1512113,1.135049761,4.55491892,4.962702124,3.807170698
1512114,0.864002408,9.721535956,8.777306982,3.253431943
1512115,0.700627955,1.534618833,1.079141189,1.302550162
1512116,0.979516207,5.851111286,1.844082306,3.178690648
1512201,0.694210722,6.125475529,5.757821231,2.342547527
1512202,1.006056497,11.28593483,8.76572406,3.916359022
1512203,1.046673346,8.874191114,9.283107338,3.713038721
1512204,0.765546781,1.057870235,1.622292983,2.546691104
15121205,0.458969959,0.48288017,0.223536452,2.408079432
15121206,1.065311391,8.926045945,8.185286676,3.629129117
15121207,1.392459371,5.28942151,5.282868156,2.861935152
1512208,0.932979344,7.56105035,7.762892789,2.559121349
1512209,0.632502204,1.787643245,0.520462098,1.539948199
1512210,0.498297272,0.607471582,0.316828867,1.553158916
1512211,0.796750547,0.724841957,1.142111812,2.513261736
1512212,0.977486446,5.846277721,5.948047626,3.151186021
1512213,0.672382771,0.799614722,0.929327162,3.168423279
1512215,1.691332859,0.135204419,0.259906496,3.605527757
1512216,0.674960655,8.66366729,0.493669391,1.239283381
