subjid,xd,xv,cond,val,aro,resp,fair,trial
1512101,1,11,1,1,9,4,5,1
1512101,1,11,1,1,9,4,5,2
1512101,1,11,2,1,9,4,5,3
1512101,6,6,2,8,3,1,9,4
1512101,0,12,2,1,9,4,5,5
1512101,5,7,1,6,5,1,9,6
1512101,2,10,2,1,9,4,5,7
1512101,6,6,1,6,4,1,9,8
1512101,5,7,2,6,5,4,5,9
1512101,5,7,1,7,4,1,9,10
1512101,6,6,1,7,4,1,9,11
1512101,1,11,2,1,9,4,5,12
1512101,6,6,2,1,3,1,9,13
1512101,6,6,2,7,4,1,9,14
1512101,0,12,1,1,9,4,5,15
1512101,2,10,1,1,9,4,5,16
1512101,0,12,2,1,9,4,5,17
1512101,5,7,2,7,4,1,9,18
1512101,5,7,1,7,4,1,9,19
1512101,0,12,2,1,9,4,5,20
1512101,2,10,2,1,9,4,5,21
1512101,6,6,1,7,4,1,9,22
1512101,6,6,1,7,4,4,9,23
1512101,0,12,1,1,9,4,5,24
1512101,5,7,2,7,4,1,9,25
1512101,1,11,1,1,9,4,5,26
1512101,0,12,1,1,9,4,5,27
1512101,0,12,2,1,9,4,5,28
1512101,5,7,1,7,4,1,9,29
1512101,6,6,2,6,3,1,9,30
1512101,5,7,2,6,3,1,9,31
1512101,2,10,1,1,9,4,5,32
1512101,5,7,1,7,4,1,9,33
1512101,6,6,1,6,3,1,9,34
1512101,2,10,2,1,9,4,5,35
1512101,2,10,1,1,9,4,5,36
1512101,6,6,2,7,4,1,9,37
1512101,1,11,2,1,9,4,5,38
1512101,5,7,2,7,4,1,9,39
1512101,0,12,1,1,9,3,5,40
1512101,6,6,1,7,4,1,9,41
1512101,5,7,2,7,4,1,9,42
1512101,5,7,1,7,4,1,9,43
1512101,6,6,2,6,3,1,9,44
1512101,2,10,2,1,9,4,5,45
1512101,1,11,1,1,9,4,5,46
1512101,1,11,1,1,9,4,5,47
1512101,5,7,2,7,4,1,9,48
1512101,5,7,1,7,4,1,9,49
1512101,1,11,2,1,9,4,5,50
1512101,0,12,2,1,9,4,5,51
1512101,0,12,1,1,9,4,5,52
1512101,2,10,1,1,9,4,5,53
1512101,2,10,2,1,9,4,5,54
1512101,0,12,1,1,9,4,5,55
1512101,0,12,1,1,9,4,5,56
1512101,0,12,2,1,9,4,5,57
1512101,6,6,2,7,4,1,9,58
1512101,5,7,2,6,3,1,9,59
1512101,0,12,2,1,9,4,5,60
1512101,2,10,1,1,9,4,5,61
1512101,5,7,2,7,4,1,9,62
1512101,6,6,2,7,4,1,9,63
1512101,2,10,1,1,9,4,5,64
1512101,5,7,2,7,4,1,9,65
1512101,1,11,2,1,9,4,5,66
1512101,6,6,1,7,4,1,9,67
1512101,1,11,2,1,9,4,5,68
1512101,6,6,1,7,3,1,9,69
1512101,0,12,2,1,9,4,5,70
1512101,5,7,1,7,4,1,9,71
1512101,6,6,2,6,3,1,9,72
1512101,6,6,1,7,3,1,9,73
1512101,1,11,1,1,9,4,5,74
1512101,0,12,1,1,9,4,5,75
1512101,2,10,2,1,9,4,5,76
1512101,6,6,2,7,4,1,9,77
1512101,6,6,1,7,4,1,9,78
1512101,5,7,1,7,4,1,9,79
1512101,5,7,1,7,4,1,9,80
1512105,1,11,1,4,6,8,4,1
1512105,1,11,1,4,6,8,2,2
1512105,2,10,2,2,8,8,3,3
1512105,5,7,2,3,7,5,7,4
1512105,1,11,2,5,5,8,4,5
1512105,6,6,1,8,2,8,8,6
1512105,0,12,2,3,9,9,2,7
1512105,5,7,1,7,3,2,8,8
1512105,6,6,2,7,3,2,8,9
1512105,5,7,1,7,3,3,8,10
1512105,6,6,1,7,4,2,8,11
1512105,2,10,2,3,8,8,2,12
1512105,5,7,2,6,5,8,2,13
1512105,6,6,2,9,1,2,8,14
1512105,0,12,1,2,8,1,4,15
1512105,2,10,1,4,7,9,2,16
1512105,0,12,2,4,7,9,2,17
1512105,5,7,2,3,5,3,7,18
1512105,6,6,1,5,5,2,8,19
1512105,0,12,2,2,3,9,1,20
